ID,type,group_num,group_weight,target_type,initial_time,initial_num,activite_range,time_gap,level_range,target_range,robot_sleep_rule1,robot_sleep_rule2_time,robot_sleep_rule2_target
INT,INT,INT,INT,INT,INT_ARRAY,INT_ARRAY,INT_ARRAY,INT_ARRAY,INT_ARRAY,INT_ARRAY,INT_ARRAY,INT_ARRAY,STRING
#,机器人类型（1.普通；2.俱乐部）,机器人组号,机器人组内权重,目标类型（1.关卡;2.收集物）,首次开始行动条件（秒）,首次生成机器人时的初始积分,行动次数区间（左开右闭，最左侧从0开始，最右侧为无限大）,与行动次数区间对应的行动间隔（每个次数区间对应两个值，表示下限和上限；不同区间之间用;分隔）0到1 若有开始行动等待时间则按照开始等待时间来算,与行动次数区间对应的关卡步长（每个次数区间对应两个值，表示下限和上限；不同区间之间用;分隔）,单关产生的收集物范围,收集目标大于等于排名最高玩家该值时休眠,活动时间占比（机器人初始化到活动结束时时间占比）,时间分段对应的目标获取上限
1967,1,2101,10,1,90|180,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,10|30,3|3|5|3|4|3|4|3|3,"{16|18,14|16,0|0,15|17,0|0,14|16,14|16,0|0,15|17}"
1968,1,2101,10,1,90|180,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,10|30,4|5|4,"{47|49,0|0,46|48}"
1969,1,2101,10,1,90|180,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,10|30,4|4|3,"{49|51,0|0,49|51}"
1970,1,2101,10,1,90|180,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,10|30,4|5|5|3,"{22|24,23|25,22|24,23|25}"
1971,1,2101,10,1,90|180,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,10|30,5|3|4|4|5,"{30|32,0|0,32|34,0|0,32|34}"
1972,1,2101,10,1,90|180,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,10|30,4|3|4|5|4|3,"{22|24,22|24,0|0,23|25,0|0,23|25}"
1973,1,2101,10,1,90|180,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,10|30,4|5|3|3|3|3,"{22|24,24|26,0|0,23|25,0|0,22|24}"
1974,1,2101,10,1,90|180,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,10|30,3|3|5|3|5|4,"{22|24,0|0,23|25,0|0,22|24,24|26}"
1975,1,2101,10,1,90|180,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,10|30,4|4,"{48|50,46|48}"
1976,1,2101,10,1,90|300,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,10|30,4|4,"{50|52,49|51}"
1977,1,2101,10,1,90|300,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,10|30,4|4,"{45|47,45|47}"
1978,1,2101,10,1,90|300,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,10|30,3|3|5|5|3|3|5,"{17|19,0|0,19|21,0|0,19|21,19|21,17|19}"
1979,1,2101,10,1,90|300,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,10|30,5|5|3|5|5|4,"{18|20,0|0,19|21,19|21,17|19,18|20}"
1980,1,2101,10,1,90|300,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,10|30,5|3|5|3|5|5|4,"{15|17,14|16,14|16,0|0,16|18,16|18,15|17}"
1981,1,2102,10,1,90|180,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,10|30,4|4|4,"{31|33,0|0,30|32}"
1982,1,2102,10,1,90|180,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,10|30,3|5|5,"{32|34,0|0,30|32}"
1983,1,2102,10,1,90|180,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,10|30,5|5|3|4|5,"{21|23,0|0,22|24,0|0,22|24}"
1984,1,2102,10,1,90|180,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,10|30,3|3|5,"{32|34,0|0,33|35}"
1985,1,2102,10,1,90|180,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,10|30,4|4|3|4|5,"{21|23,0|0,20|22,0|0,21|23}"
1986,1,2102,10,1,90|180,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,10|30,5|3|4,"{32|34,0|0,30|32}"
1987,1,2102,10,1,90|180,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,10|30,5|3,"{31|33,32|34}"
1988,1,2102,10,1,90|180,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,10|30,3|3|3|4,"{22|24,0|0,22|24,20|22}"
1989,1,2102,10,1,90|180,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,10|30,5|3|3,"{22|24,21|23,20|22}"
1990,1,2102,10,1,90|180,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,10|30,3|5|5|4|3|5,"{14|16,16|18,0|0,14|16,0|0,14|16}"
1991,1,2102,10,1,90|180,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,10|30,3|5|5|3,"{22|24,0|0,20|22,20|22}"
1992,1,2102,10,1,90|180,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,10|30,4|5|5|3|5|5,"{16|18,0|0,14|16,0|0,14|16,14|16}"
1993,1,2102,10,1,90|180,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,10|30,3|3|3,"{22|24,22|24,20|22}"
1994,1,2102,10,1,90|180,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,10|30,3|3,"{32|34,31|33}"
1995,1,2102,10,1,90|180,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,10|30,4|3|3|5|5|5|4,"{14|16,0|0,16|18,0|0,14|16,0|0,16|18}"
1996,1,2102,10,1,90|180,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,10|30,3|5,"{30|32,33|35}"
1997,1,2102,10,1,90|180,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,10|30,5|3|5|4|3,"{15|17,0|0,16|18,14|16,16|18}"
1998,1,2102,10,1,90|180,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,10|30,5|5|3|4|4|5,"{14|16,0|0,15|17,0|0,15|17,15|17}"
1999,1,2102,10,1,90|180,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,10|30,4|4|4|5|3,"{16|18,0|0,16|18,15|17,15|17}"
2000,1,2102,10,1,90|180,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,10|30,5|3|3|5|3,"{14|16,0|0,14|16,15|17,14|16}"
2001,1,2103,10,1,90|180,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,1|30,5|3|4,"{23|25,0|0,21|23}"
2002,1,2103,10,1,90|180,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,1|30,4|3,"{23|25,23|25}"
2003,1,2103,10,1,90|180,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,1|30,4|5|5,"{15|17,14|16,13|15}"
2004,1,2103,10,1,90|180,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,1|30,3|4|5|5,"{15|17,14|16,0|0,14|16}"
2005,1,2103,10,1,90|180,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,1|30,5|3|3,"{21|23,0|0,23|25}"
2006,1,2103,10,1,90|180,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,1|30,4|3|3,"{23|25,0|0,22|24}"
2007,1,2103,10,1,90|180,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,1|30,5|4|5|3,"{14|16,15|17,0|0,13|15}"
2008,1,2103,10,1,90|180,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,1|30,4|3,"{23|25,23|25}"
2009,1,2103,10,1,90|180,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,1|30,4|3,"{23|25,21|23}"
2010,1,2103,10,1,90|180,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,1|30,4|4|5,"{23|25,0|0,21|23}"
2011,1,2103,10,1,90|180,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,1|30,5|5,"{21|23,23|25}"
2012,1,2103,10,1,90|180,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,1|30,5|4|4,"{15|17,13|15,13|15}"
2013,1,2103,10,1,90|180,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,1|30,4|5|3,"{22|24,0|0,22|24}"
2014,1,2103,10,1,90|180,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,1|30,5|5|3,"{15|17,15|17,15|17}"
2015,1,2103,10,1,90|180,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,1|30,5|4|4,"{21|23,0|0,22|24}"
2016,1,2103,10,1,90|180,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,1|30,4|3|3|3|3,"{13|15,0|0,15|17,0|0,14|16}"
2017,1,2103,10,1,90|180,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,1|30,3|3|4|5|3,"{13|15,0|0,15|17,0|0,14|16}"
2018,1,2103,10,1,90|180,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,1|30,5|5,"{23|25,22|24}"
2019,1,2103,10,1,90|180,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,1|30,4|5|4|3,"{15|17,14|16,0|0,15|17}"
2020,1,2103,10,1,90|180,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,1|30,5|4,"{22|24,23|25}"
2021,1,2104,10,1,90|300,1|1,1|30|60,180|300;180|300;180|300;180|600,1|1;1|1;1|1;1|1,-1,1|30,3|4|3|5,"{3|5,0|0,3|5,3|5}"
2022,1,2104,10,1,90|300,1|1,1|30|60,180|300;180|300;180|300;180|600,1|1;1|1;1|1;1|1,-1,1|30,3|3|4,"{4|6,0|0,4|6}"
2023,1,2104,10,1,90|300,1|1,1|30|60,180|300;180|300;180|300;180|600,1|1;1|1;1|1;1|1,-1,1|30,3|5|4|5,"{3|5,0|0,3|5,3|5}"
2024,1,2104,10,1,90|300,1|1,1|30|60,180|300;180|300;180|300;180|600,1|1;1|1;1|1;1|1,-1,1|30,5|4|4,"{4|6,0|0,4|6}"
2025,1,2104,10,1,90|300,1|1,1|30|60,180|300;180|300;180|300;180|600,1|1;1|1;1|1;1|1,-1,1|30,5|4|3|4,"{3|5,3|5,0|0,3|5}"
2026,1,2104,10,1,90|300,1|1,1|30|60,180|300;180|300;180|300;180|600,1|1;1|1;1|1;1|1,-1,1|30,5|5|4,"{4|6,0|0,5|7}"
2027,1,2104,10,1,90|300,1|1,1|30|60,180|300;180|300;180|300;180|600,1|1;1|1;1|1;1|1,-1,1|30,5|3|3|5|5,"{3|5,0|0,3|5,0|0,3|5}"
2028,1,2104,10,1,90|300,1|1,1|30|60,180|300;180|300;180|300;180|600,1|1;1|1;1|1;1|1,-1,1|30,5|4|5,"{3|5,3|5,3|5}"
2029,1,2104,10,1,90|300,1|1,1|30|60,180|300;180|300;180|300;180|600,1|1;1|1;1|1;1|1,-1,1|30,5|5|5|5,"{3|5,3|5,0|0,3|5}"
2030,1,2104,10,1,90|300,1|1,1|30|60,180|300;180|300;180|300;180|600,1|1;1|1;1|1;1|1,-1,1|30,4|4,"{4|6,5|7}"
2031,1,2104,10,1,90|300,1|1,1|30|60,180|300;180|300;180|300;180|600,1|1;1|1;1|1;1|1,-1,1|30,5|5|4|4,"{3|5,0|0,3|5,3|5}"
2032,1,2104,10,1,90|300,1|1,1|30|60,180|300;180|300;180|300;180|600,1|1;1|1;1|1;1|1,-1,1|30,3|5,"{4|6,5|7}"
2033,1,2104,10,1,90|300,1|1,1|30|60,180|300;180|300;180|300;180|600,1|1;1|1;1|1;1|1,-1,1|30,3|3,"{5|7,4|6}"
2034,1,2104,10,1,90|300,1|1,1|30|60,180|300;180|300;180|300;180|600,1|1;1|1;1|1;1|1,-1,1|30,4|3,"{4|6,4|6}"
2035,1,2104,10,1,90|300,1|1,1|30|60,180|300;180|300;180|300;180|600,1|1;1|1;1|1;1|1,-1,1|30,4|4|4,"{3|5,3|5,3|5}"
2036,1,2104,10,1,90|300,1|1,1|30|60,180|300;180|300;180|300;180|600,1|1;1|1;1|1;1|1,-1,1|30,3|3|5,"{5|7,0|0,5|7}"
2037,1,2104,10,1,90|300,1|1,1|30|60,180|300;180|300;180|300;180|600,1|1;1|1;1|1;1|1,-1,1|30,4|4|4,"{3|5,3|5,3|5}"
2038,1,2104,10,1,90|300,1|1,1|30|60,180|300;180|300;180|300;180|600,1|1;1|1;1|1;1|1,-1,1|30,4|3|3|4,"{3|5,0|0,3|5,3|5}"
2039,1,2104,10,1,90|300,1|1,1|30|60,180|300;180|300;180|300;180|600,1|1;1|1;1|1;1|1,-1,1|30,3|3|3|4|5,"{3|5,0|0,3|5,0|0,3|5}"
2040,1,2104,10,1,90|300,1|1,1|30|60,180|300;180|300;180|300;180|600,1|1;1|1;1|1;1|1,-1,1|30,4|4|4,"{3|5,3|5,3|5}"
2041,1,2111,10,1,90|180,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,10|30,3|3,"{29|31,30|32}"
2042,1,2111,10,1,90|180,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,10|30,4|3|4|5|3,"{12|14,11|13,11|13,12|14,11|13}"
2043,1,2111,10,1,90|180,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,10|30,4|3|4|5|3|5|5,"{11|13,0|0,11|13,12|14,0|0,11|13,11|13}"
2044,1,2111,10,1,90|180,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,10|30,5|4,"{30|32,31|33}"
2045,1,2111,10,1,90|180,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,10|30,4|5|5|5|5,"{20|22,0|0,19|21,0|0,19|21}"
2046,1,2111,10,1,90|180,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,10|30,4|5|5,"{31|33,0|0,30|32}"
2047,1,2111,10,1,90|180,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,10|30,3|4,"{32|34,29|31}"
2048,1,2111,10,1,90|180,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,10|30,4|5|5|5,"{14|16,13|15,13|15,14|16}"
2049,1,2111,10,1,90|180,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,10|30,5|3,"{29|31,29|31}"
2050,1,2111,10,1,90|180,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,10|30,5|4|5|3|5|4|5|5|4|4,"{10|12,0|0,9|11,0|0,10|12,0|0,9|11,9|11,0|0,9|11}"
2051,1,2111,10,1,90|180,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,10|30,4|4|5|5|4,"{14|16,15|17,15|17,0|0,13|15}"
2052,1,2111,10,1,90|180,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,10|30,3|3|3|3|5|3|5,"{14|16,0|0,14|16,0|0,15|17,0|0,14|16}"
2053,1,2111,10,1,90|180,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,10|30,5|4|4,"{30|32,0|0,31|33}"
2054,1,2111,10,1,90|180,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,10|30,5|3|5|4|4|5|3|5|4|3,"{10|12,0|0,10|12,0|0,9|11,10|12,0|0,10|12,0|0,10|12}"
2055,1,2111,10,1,90|180,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,10|30,3|3|5|5,"{19|21,20|22,0|0,21|23}"
2056,1,2111,10,1,90|300,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,10|30,4|4|4|3|5,"{13|15,14|16,0|0,15|17,15|17}"
2057,1,2111,10,1,90|300,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,10|30,4|3|3|4|4|3|3,"{11|13,12|14,0|0,11|13,0|0,11|13,12|14}"
2058,1,2111,10,1,90|300,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,10|30,5|3,"{29|31,29|31}"
2059,1,2111,10,1,90|300,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,10|30,5|5|4|5|5|5|3,"{9|11,10|12,10|12,10|12,0|0,9|11,10|12}"
2060,1,2111,10,1,90|300,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,10|30,3|5|3|5,"{13|15,14|16,14|16,15|17}"
2061,1,2112,10,1,90|180,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,10|30,3|4|4|4|3,"{9|11,9|11,10|12,0|0,9|11}"
2062,1,2112,10,1,90|180,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,10|30,4|4|3|3|5,"{10|12,10|12,0|0,10|12,9|11}"
2063,1,2112,10,1,90|180,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,10|30,5|4|4|3,"{14|16,14|16,0|0,13|15}"
2064,1,2112,10,1,90|180,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,10|30,3|5|3|5|3,"{10|12,0|0,10|12,10|12,10|12}"
2065,1,2112,10,1,90|180,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,10|30,4|5|5|5|4|3,"{9|11,0|0,9|11,9|11,0|0,9|11}"
2066,1,2112,10,1,90|180,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,10|30,4|3,"{20|22,20|22}"
2067,1,2112,10,1,90|180,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,10|30,4|3|3|4|5,"{13|15,0|0,13|15,0|0,13|15}"
2068,1,2112,10,1,90|180,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,10|30,5|3|3,"{19|21,0|0,21|23}"
2069,1,2112,10,1,90|180,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,10|30,4|4|3|3|5|3,"{10|12,0|0,10|12,0|0,10|12,9|11}"
2070,1,2112,10,1,90|180,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,10|30,3|4|5|5|3|3,"{10|12,9|11,0|0,10|12,0|0,10|12}"
2071,1,2112,10,1,90|180,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,10|30,5|5|4|5,"{14|16,0|0,13|15,13|15}"
2072,1,2112,10,1,90|180,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,10|30,5|3|5|4,"{14|16,13|15,0|0,13|15}"
2073,1,2112,10,1,90|180,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,10|30,4|4|5|5,"{13|15,0|0,13|15,14|16}"
2074,1,2112,10,1,90|180,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,10|30,3|5,"{21|23,19|21}"
2075,1,2112,10,1,90|180,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,10|30,4|4|3,"{21|23,0|0,21|23}"
2076,1,2112,10,1,90|180,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,10|30,5|4|3,"{14|16,13|15,13|15}"
2077,1,2112,10,1,90|180,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,10|30,4|4|3,"{21|23,0|0,20|22}"
2078,1,2112,10,1,90|180,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,10|30,3|3|3,"{21|23,0|0,19|21}"
2079,1,2112,10,1,90|180,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,10|30,4|5|4|4|5|5|3,"{10|12,0|0,10|12,0|0,9|11,0|0,9|11}"
2080,1,2112,10,1,90|180,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,10|30,5|3|4|4|5,"{10|12,9|11,9|11,0|0,10|12}"
2081,1,2113,10,1,90|180,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,1|30,4|5|4|4|5,"{9|11,0|0,9|11,0|0,8|10}"
2082,1,2113,10,1,90|180,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,1|30,5|3|3,"{8|10,8|10,8|10}"
2083,1,2113,10,1,90|180,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,1|30,3|5|3|5,"{8|10,8|10,0|0,8|10}"
2084,1,2113,10,1,90|180,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,1|30,4|4,"{13|15,13|15}"
2085,1,2113,10,1,90|180,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,1|30,5|4|3,"{14|16,0|0,14|16}"
2086,1,2113,10,1,90|180,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,1|30,3|4|4|3,"{9|11,0|0,8|10,8|10}"
2087,1,2113,10,1,90|180,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,1|30,5|4|5,"{13|15,0|0,14|16}"
2088,1,2113,10,1,90|180,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,1|30,4|4|4,"{13|15,0|0,15|17}"
2089,1,2113,10,1,90|180,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,1|30,3|4,"{14|16,13|15}"
2090,1,2113,10,1,90|180,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,1|30,3|5|5|5,"{8|10,9|11,0|0,8|10}"
2091,1,2113,10,1,90|180,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,1|30,4|3|5,"{8|10,9|11,8|10}"
2092,1,2113,10,1,90|180,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,1|30,4|3|3,"{15|17,0|0,15|17}"
2093,1,2113,10,1,90|180,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,1|30,4|5|4|5,"{9|11,0|0,8|10,9|11}"
2094,1,2113,10,1,90|180,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,1|30,4|3,"{15|17,15|17}"
2095,1,2113,10,1,90|180,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,1|30,3|5,"{13|15,15|17}"
2096,1,2113,10,1,90|180,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,1|30,4|5|3,"{15|17,0|0,15|17}"
2097,1,2113,10,1,90|180,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,1|30,5|3|5,"{14|16,0|0,15|17}"
2098,1,2113,10,1,90|180,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,1|30,4|5,"{15|17,14|16}"
2099,1,2113,10,1,90|180,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,1|30,3|4|5|5|4,"{8|10,0|0,9|11,0|0,9|11}"
2100,1,2113,10,1,90|180,1|1,1|30|60,90|180;90|180;120|240;120|360,1|1;1|1;1|1;1|1,-1,1|30,3|4|5|4|4,"{9|11,0|0,9|11,0|0,8|10}"
2101,1,2114,10,1,90|300,1|1,1|30|60,180|300;180|300;180|300;180|600,1|1;1|1;1|1;1|1,-1,1|30,4|3,"{4|6,4|6}"
2102,1,2114,10,1,90|300,1|1,1|30|60,180|300;180|300;180|300;180|600,1|1;1|1;1|1;1|1,-1,1|30,5|3|4|3|4,"{2|4,0|0,2|4,0|0,2|4}"
2103,1,2114,10,1,90|300,1|1,1|30|60,180|300;180|300;180|300;180|600,1|1;1|1;1|1;1|1,-1,1|30,4|3|3|4,"{2|4,0|0,2|4,2|4}"
2104,1,2114,10,1,90|300,1|1,1|30|60,180|300;180|300;180|300;180|600,1|1;1|1;1|1;1|1,-1,1|30,5|4|5|4|3,"{2|4,0|0,2|4,0|0,2|4}"
2105,1,2114,10,1,90|300,1|1,1|30|60,180|300;180|300;180|300;180|600,1|1;1|1;1|1;1|1,-1,1|30,4|5|5,"{4|6,0|0,4|6}"
2106,1,2114,10,1,90|300,1|1,1|30|60,180|300;180|300;180|300;180|600,1|1;1|1;1|1;1|1,-1,1|30,5|3|5|4,"{2|4,2|4,0|0,2|4}"
2107,1,2114,10,1,90|300,1|1,1|30|60,180|300;180|300;180|300;180|600,1|1;1|1;1|1;1|1,-1,1|30,5|4|4,"{2|4,2|4,2|4}"
2108,1,2114,10,1,90|300,1|1,1|30|60,180|300;180|300;180|300;180|600,1|1;1|1;1|1;1|1,-1,1|30,5|4|4,"{4|6,0|0,4|6}"
2109,1,2114,10,1,90|300,1|1,1|30|60,180|300;180|300;180|300;180|600,1|1;1|1;1|1;1|1,-1,1|30,5|4|5,"{4|6,0|0,4|6}"
2110,1,2114,10,1,90|300,1|1,1|30|60,180|300;180|300;180|300;180|600,1|1;1|1;1|1;1|1,-1,1|30,5|5|4|4,"{2|4,2|4,0|0,2|4}"
2111,1,2114,10,1,90|300,1|1,1|30|60,180|300;180|300;180|300;180|600,1|1;1|1;1|1;1|1,-1,1|30,5|4,"{4|6,4|6}"
2112,1,2114,10,1,90|300,1|1,1|30|60,180|300;180|300;180|300;180|600,1|1;1|1;1|1;1|1,-1,1|30,5|5,"{4|6,4|6}"
